Altisländisch;Deutsch;Altisländisch_Text;Deutsch_Text
á;auf;á;auf
bjó;lebte;bjó;lebte
búa;leben;búa;leben
efniligr;versprechend;efniligr;versprechend
frændi;Verwandter;frændi;Verwandter
en;aber;en;aber
fyrst;erster;fyrst;erster
gaf;gab;gaf;gab
gefa;geben;gefa;geben
hann;er;hann;er
hans;sein;hans;sein (poss., masc., sg.,)
hét;hieß;hét;hieß
heita;heißt;heita;heißt
kona;Ehefrau;kona;Ehefrau
landnamsmaðr;Siedler;landnamsmaðr;Siedler
maðr;Mann;maðr;Mann
papi;Priester;papi;Priester
saga;Sage;saga;Sage
sonr;Sohn;sonr;Sohn
var;war;var;war
vera;sein;vera;sein (verb)
þheira;ihr;þheira;ihr (pl.)
fugl;Vogel;fugl;Vogel
korn;Korn;korn;Korn
konunugr;König;konunugr;König
drótting;Königin;drótting;Königin
hlutr;Teil;hlutr;Teil
brú;Brücke;brú;Brücke
land;Land;land;Land
verða;werden;verða;werden
heita;genannt;heita;genannt
nam;nahm;nam;nahm
sá;sah;sá;sah
hestr;Pferd;hestr;Pferd
víkingr;Wikinger;víkingr;Wikinger
ferð;Reise;ferð;Reise
sök;Schuld;sök;Schuld
leið;Weg;leið;Weg
vík;Bucht;vík;Bucht
hilð;Hang;hilð;Hang
skip;Schiff;skip;Schiff
mál;Sprache;mál;Sprache
sverð;Schwert;sverð;Schwert
þing;Versammlung;þing;Versammlung
mikill;groß;mikill;groß
margr;viel;margr;viel
sá;dies;sá;dies
einn;eins;einn;eins
góðr;gut;góðr;gut
hafa;haben;hafa;haben
segja;sagen;segja;sagen
til;nach;til;nach (örtlich)
í;in;í;in
ok;und;ok;und
at;dass;at;dass
vápn;Waffe;vápn;Waffe
hönd;Hand;hönd;Hand
bróðir;Bruder;bróðir;Bruder
dagr;Tag;dagr;Tag
lítill;klein;lítill;klein (&wenig)
smár;klein;smár;klein
fár;wenig;fár;wenig
dauðr;tot;dauðr;tot
langr;lang;langr;lang
koma;kommen;koma;kommen
bera;tragen;bera;tragen
vilja;wollen;vilja;wollen
láta;lassen;láta;lassen
rída;reiten;rída;reiten
eptir;nach;eptir;nach (zeitlich)
sterkr;stark;sterkr;stark
fara;gehen;fara;gehen
fór;ging;fór;ging
með;mit;með;mit
nema;nehmen;nema;nehmen
